seqnames,start,end,width,strand,gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,tx_ids
chrX,100627108,100639991,12884,-,ENSG00000000003.16,6546.703782299402,-1.381722424737627,0.04358149739835047,3.3389389706914866e-221,1.0229093826767429e-219,
chr20,50934867,50959140,24274,-,ENSG00000000419.14,2351.371303197079,-0.006639382574911568,0.025746949712871416,0.7889924612620716,0.8072580575999134,
chr1,169849631,169894267,44637,-,ENSG00000000457.14,1835.032860922433,0.4109180588024084,0.021393377274823173,2.8785860126331138e-83,2.2142232947191195e-82,
chr1,169662007,169854080,192074,+,ENSG00000000460.17,589.811139533892,1.3136465730050593,0.06213081258742705,9.35718846446012e-100,9.017990382623439e-99,
chr1,27612064,27635185,23122,-,ENSG00000000938.13,105.14336109973307,2.8908669196221766,0.12032158088521398,7.776234813680326e-129,1.0642858653279642e-127,
chr1,196651754,196752476,100723,+,ENSG00000000971.17,333784.2252375382,-0.7653428888536283,0.06935367726223228,1.6772236712473502e-28,5.167734583182525e-28,
chr6,143494812,143511720,16909,-,ENSG00000001036.14,10654.856235680982,-0.3674917040268792,0.03701351766069628,2.2956431046155758e-23,6.268235746636556e-23,
chr6,53497341,53616970,119630,-,ENSG00000001084.13,2424.0897067119013,-0.7642434146186919,0.05643620654355299,6.210134146013812e-42,2.5164751716415464e-41,
chr6,41072974,41102403,29430,+,ENSG00000001167.15,3756.923517671456,0.13701059093701923,0.02910122457607045,2.530962892393538e-6,3.971855058081453e-6,
chr1,24356999,24416934,59936,-,ENSG00000001460.18,478.7198153110528,-0.6217942146268856,0.034149255070462264,5.579115005296618e-74,3.763340042942863e-73,
chr1,24415802,24472976,57175,+,ENSG00000001461.17,2550.605496095334,-0.5600509629627894,0.03171637602332602,7.093933376361493e-70,4.5289174439757476e-69,
chrX,65438549,65534810,96262,-,ENSG00000001497.18,1801.0684679356104,-0.24683600022935911,0.03391660764378883,3.2519828766177893e-13,6.639453079368829e-13,
chr6,46129989,46146688,16700,+,ENSG00000001561.7,967.3887152593417,0.4355471782464042,0.08644826745763894,4.0139914673734547e-7,6.540125573425472e-7,
chr3,50155045,50189075,34031,+,ENSG00000001617.12,70.56906543065105,-0.4674415659329982,0.12143480611242657,8.906291991219038e-5,1.2933358472934223e-4,
chr7,117287120,117715971,428852,+,ENSG00000001626.18,4.134574743953719,3.3358755327469494,0.320128959443967,2.1367663093593502e-28,6.565276930855708e-28,
chr7,92245974,92401383,155410,+,ENSG00000001629.10,5790.4883300733645,0.041222277126892276,0.0236140440508673,0.08191840738735084,0.09648501695027116,
chr7,92084987,92134803,49817,-,ENSG00000001630.18,6771.621655195735,0.3812111485770686,0.05144101871732716,1.1431836005867775e-13,2.371039874602956e-13,
chr7,92197498,92246166,48669,-,ENSG00000001631.17,4503.822490847928,0.03368983892876121,0.020644096049781423,0.10479490663610824,0.1220496571245309,
chr12,911736,990053,78318,-,ENSG00000002016.18,836.4365917043051,-0.414516120301316,0.04390884822681557,4.555379098413908e-21,1.1694330582276769e-20,
chr7,99238829,99306809,67981,+,ENSG00000002079.15,71.58093829719427,5.827566550902238,0.145756497292427,0,0,
chr11,64269830,64284704,14875,-,ENSG00000002330.14,184.54363110870685,-0.661930069181856,0.06657143727060719,2.2472030817508408e-23,6.136695074486062e-23,
chr4,17577198,17607972,30775,+,ENSG00000002549.13,3476.341104984693,1.1002755004284233,0.08843311229084665,9.386008082831098e-36,3.374236353060045e-35,
chrX,2691187,2741309,50123,+,ENSG00000002586.20,16768.41233604588,-0.8336917083854213,0.0682692697794117,3.273162769863305e-34,1.1419042966355694e-33,
chr4,11393150,11429564,36415,-,ENSG00000002587.10,167.25071593313183,0.2949947187396881,0.10595670375821269,0.005053370795217756,0.006580221048999983,
